timestamp,severity,correction_type,description,source_file,asset,before_value,after_value,details
2026-05-27T23:34:59.992079,warning,missing_drop_row,Row 2023-04-06 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-04-06 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:34:59.992181,warning,missing_drop_row,Row 2023-04-07 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-04-07 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:34:59.992592,warning,missing_drop_row,Row 2023-04-14 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-04-14 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:34:59.993087,warning,missing_drop_row,Row 2023-04-19 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-04-19 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:34:59.994166,warning,missing_drop_row,Row 2023-05-02 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-05-02 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:34:59.995128,warning,missing_drop_row,Row 2023-05-12 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-05-12 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:34:59.995393,warning,missing_drop_row,Row 2023-05-16 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-05-16 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:34:59.995498,warning,missing_drop_row,Row 2023-05-17 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-05-17 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:34:59.995762,warning,missing_drop_row,Row 2023-05-22 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-05-22 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:34:59.995873,warning,missing_drop_row,Row 2023-05-23 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-05-23 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:34:59.995970,warning,missing_drop_row,Row 2023-05-24 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-05-24 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:34:59.996069,warning,missing_drop_row,Row 2023-05-25 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-05-25 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:34:59.996267,warning,missing_drop_row,Row 2023-05-26 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-05-26 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:34:59.996403,warning,missing_drop_row,Row 2023-05-29 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-05-29 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:34:59.996511,warning,missing_drop_row,Row 2023-05-30 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-05-30 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:34:59.996616,warning,missing_drop_row,Row 2023-05-31 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-05-31 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
2026-05-27T23:34:59.996715,warning,missing_drop_row,Row 2023-06-01 00:00:00 has 16.67% missing values,merged,,,,"{'row_index': '2023-06-01 00:00:00', 'missing_count': 1, 'missing_ratio': 0.16666666666666666, 'total_columns': 6}"
